ID;Название;Дата;Показы;Клики;Расход, ₽;Заказы, шт.;Заказы, ₽
11005236;Продвижение в поиске — все товары;2026-02-01;87466;2243;82572,90;7;825729,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-01;5364;192;1434,38;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-01;4099;133;715,73;1;114637,00
19375180;5600g-16-512;2026-02-01;1584;58;293,97;1;100000,00
19598257;2650v2-1660s-16-512-K1;2026-02-01;4901;215;285,58;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-01;3747;111;287,09;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-01;2534;107;298,97;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-01;2448;47;280,32;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-01;6689;202;713,73;1;153552,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-01;2973;88;290,72;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-01;5100;250;720,30;1;100000,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-01;11371;983;2858,85;1;90800,00
20381949;2650v2-5050-64-1024-Z5;2026-02-01;3455;92;720,72;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-01;3086;121;737,14;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-01;2534;54;594,39;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-01;3496;71;824,52;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-01;4776;80;309,34;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-01;4157;88;304,58;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-01;4966;77;315,62;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-01;3225;54;307,92;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-01;2994;44;344,70;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-01;4562;90;285,49;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-01;3057;45;287,61;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-01;3734;62;295,95;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-01;4325;143;290,64;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-01;5642;239;286,24;1;125698,00
11005236;Продвижение в поиске — все товары;2026-02-02;99353;2023;46085,00;4;460850,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-02;5343;176;1409,77;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-02;4100;98;695,35;0;0,00
19375180;5600g-16-512;2026-02-02;1870;78;293,02;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-02;5507;231;285,52;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-02;3334;111;296,60;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-02;2355;80;286,08;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-02;2267;47;340,78;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-02;5890;196;696,94;1;153552,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-02;2736;77;280,82;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-02;5614;244;716,02;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-02;13035;1074;2874,60;2;181600,00
20381949;2650v2-5050-64-1024-Z5;2026-02-02;3657;70;701,51;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-02;2890;82;683,44;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-02;2816;55;589,43;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-02;3904;86;756,37;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-02;4536;93;321,82;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-02;3160;57;290,04;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-02;5485;70;305,69;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-02;3341;59;306,46;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-02;3208;57;419,33;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-02;4268;71;277,63;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-02;2980;50;367,81;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-02;4476;62;275,57;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-02;5297;173;285,56;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-02;7594;279;286,59;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-03;93087;1758;32817,90;4;328179,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-03;4920;168;1407,03;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-03;3834;96;721,84;0;0,00
19375180;5600g-16-512;2026-02-03;2054;61;291,06;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-03;5085;226;286,82;1;86484,00
19598281;3600-3070M-16-512-K1;2026-02-03;3035;81;276,20;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-03;2563;92;282,44;1;78167,00
19899803;3600-3070M-32-1024-SL190;2026-02-03;2045;47;300,90;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-03;5202;193;592,17;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-03;2016;47;177,01;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-03;4879;245;703,48;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-03;14515;1162;2805,29;0;0,00
20381949;2650v2-5050-64-1024-Z5;2026-02-03;3571;72;584,59;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-03;2135;66;667,82;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-03;2716;59;676,13;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-03;3559;79;850,61;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-03;4482;94;327,12;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-03;3246;67;301,26;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-03;5388;76;304,49;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-03;3818;54;305,15;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-03;4056;56;384,28;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-03;4144;63;286,74;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-03;3041;50;375,24;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-03;3921;59;250,20;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-03;4298;131;197,47;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-03;5455;237;278,57;0;0,00
21421510;e5-2650v2-32-1024-MX12;2026-02-03;0;0;0,00;1;56000,00
11005236;Продвижение в поиске — все товары;2026-02-04;86801;1651;100792,70;8;1007927,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-04;5081;145;1459,36;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-04;3513;91;692,67;0;0,00
19375180;5600g-16-512;2026-02-04;1787;73;249,80;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-04;4441;160;307,51;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-04;4353;190;1500,00;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-04;2504;103;287,94;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-04;2327;47;311,09;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-04;5867;183;721,03;1;153552,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-04;1552;35;317,48;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-04;5843;267;715,26;1;100000,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-04;15187;1236;2859,30;0;0,00
20381949;2650v2-5050-64-1024-Z5;2026-02-04;3058;52;711,76;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-04;3820;141;2165,17;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-04;3571;77;1398,43;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-04;5459;131;2530,80;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-04;4392;103;288,33;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-04;2495;56;288,39;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-04;3544;50;261,66;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-04;3024;49;283,68;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-04;2392;39;243,68;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-04;3383;62;304,26;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-04;2777;50;259,97;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-04;3662;56;282,82;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-04;4525;175;286,50;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-04;5970;272;284,37;0;0,00
21421510;e5-2650v2-32-1024-MX12;2026-02-04;0;0;0,00;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-05;88171;1541;37959,00;3;379590,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-05;4469;151;1368,78;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-05;3865;100;740,55;0;0,00
19375180;5600g-16-512;2026-02-05;1869;66;283,33;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-05;4165;132;290,03;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-05;6349;252;1500,00;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-05;2088;56;286,85;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-05;1847;34;201,13;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-05;5760;204;718,29;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-05;1751;45;280,90;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-05;5860;227;716,29;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-05;15469;1252;2852,74;1;94000,00
20381949;2650v2-5050-64-1024-Z5;2026-02-05;2916;73;714,79;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-05;5813;223;3364,00;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-05;3100;71;1382,93;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-05;5936;145;2551,44;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-05;3936;84;290,14;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-05;2117;57;289,74;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-05;2917;41;243,26;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-05;2622;54;282,23;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-05;2472;43;270,48;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-05;2339;43;256,47;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-05;2307;44;264,94;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-05;2752;41;235,97;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-05;4464;172;281,85;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-05;5760;249;284,34;0;0,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-05;0;0;0,00;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-06;83713;1501;10332,70;1;103327,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-06;3782;137;1362,05;1;103327,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-06;3076;86;726,31;0;0,00
19375180;5600g-16-512;2026-02-06;1693;69;320,41;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-06;3976;145;246,35;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-06;6435;341;2451,59;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-06;1747;47;293,95;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-06;1631;33;286,37;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-06;4712;146;721,18;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-06;2921;113;1872,54;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-06;4957;227;702,24;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-06;13397;1173;2861,60;0;0,00
20381949;2650v2-5050-64-1024-Z5;2026-02-06;2976;50;702,09;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-06;5274;284;3304,09;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-06;3562;98;2303,47;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-06;5874;123;2581,02;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-06;3675;96;280,00;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-06;2129;49;252,68;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-06;2872;45;276,09;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-06;2388;40;280,88;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-06;2017;37;234,40;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-06;2032;43;284,04;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-06;2996;42;277,67;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-06;2450;38;285,73;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-06;4321;176;282,93;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-06;5596;234;672,71;0;0,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-06;2167;163;595,33;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-07;82957;1526;54739,60;4;547396,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-07;4562;138;1467,63;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-07;3281;97;731,03;0;0,00
19375180;5600g-16-512;2026-02-07;1813;72;288,32;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-07;3607;124;287,03;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-07;5525;294;1429,19;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-07;1226;44;297,53;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-07;1075;22;288,05;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-07;4649;199;715,01;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-07;3658;107;1889,36;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-07;5260;245;722,47;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-07;13623;1173;2857,85;1;93000,00
20381949;2650v2-5050-64-1024-Z5;2026-02-07;2376;55;724,91;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-07;6019;350;3292,24;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-07;4434;139;3261,91;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-07;6515;198;2662,35;1;203000,00
21421298;2650v2-3060-32-1024-SL190;2026-02-07;3126;66;270,74;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-07;2202;38;250,20;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-07;2759;47;316,28;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-07;2171;39;290,61;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-07;1773;43;266,27;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-07;2253;43;224,24;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-07;2206;65;299,12;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-07;2162;24;303,41;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-07;3870;148;285,53;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-07;0;0;0,00;1;125698,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-07;9157;598;1906,76;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-08;87611;1586;57855,40;5;578554,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-08;4117;129;1427,90;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-08;3220;78;718,41;0;0,00
19375180;5600g-16-512;2026-02-08;1992;78;292,56;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-08;3431;118;300,01;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-08;5429;296;1423,36;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-08;1554;45;286,75;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-08;1624;46;311,58;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-08;5259;231;715,07;1;153552,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-08;3601;153;1890,51;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-08;5279;256;716,74;1;100000,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-08;14337;1232;2861,33;1;76450,00
20381949;2650v2-5050-64-1024-Z5;2026-02-08;3208;91;736,58;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-08;7040;418;3292,75;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-08;4671;158;3267,13;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-08;6125;172;2577,57;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-08;2925;68;288,17;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-08;2034;48;307,76;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-08;3360;55;308,49;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-08;2444;41;289,43;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-08;1548;38;299,24;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-08;2100;47;289,45;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-08;2253;54;297,88;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-08;2119;43;303,91;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-08;2695;95;299,51;0;0,00
21421432;2650v2-3070M-64-1024-SL190;2026-02-08;0;0;0,00;0;0,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-08;10541;722;1889,11;0;0,00
11005236;Продвижение в поиске — все товары;2026-02-09;101989;1709;34502,50;3;345025,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-09;4776;135;1350,65;1;103327,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-09;4519;100;715,50;0;0,00
19375180;5600g-16-512;2026-02-09;2391;96;286,67;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-09;3686;120;302,90;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-09;9383;476;2455,73;1;116000,00
19899776;2650v2-rx580-16-512-K1;2026-02-09;1458;38;281,10;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-09;2083;55;565,09;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-09;7435;242;715,94;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-09;6058;288;3750,00;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-09;6597;306;702,15;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-09;15014;1195;2851,08;0;0,00
20381949;2650v2-5050-64-1024-Z5;2026-02-09;5984;108;695,27;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-09;8550;451;4616,01;0;0,00
20381997;2650v2-5050-32-1024-SL190;2026-02-09;7733;164;2235,36;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-09;16788;340;2538,17;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-09;2956;62;294,00;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-09;4866;83;293,34;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-09;3496;46;296,10;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-09;2554;56;317,07;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-09;2168;52;340,95;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-09;5155;97;321,99;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-09;2046;58;286,36;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-09;3134;43;304,09;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-09;2804;86;289,43;0;0,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-09;12452;758;2400,53;1;125698,00
11005236;Продвижение в поиске — все товары;2026-02-10;81020;1201;54608,70;6;546087,00
18985562;2650v2-rx580-64-1024-SL190;2026-02-10;3422;99;1223,20;0;0,00
18985567;2650v2-2060s-32-1024-SL190;2026-02-10;2666;65;721,00;0;0,00
19375180;5600g-16-512;2026-02-10;1780;61;290,85;0;0,00
19598257;2650v2-1660s-16-512-K1;2026-02-10;3797;119;293,00;0;0,00
19598281;3600-3070M-16-512-K1;2026-02-10;11411;639;3675,56;0;0,00
19899776;2650v2-rx580-16-512-K1;2026-02-10;1481;46;292,53;0;0,00
19899803;3600-3070M-32-1024-SL190;2026-02-10;2675;60;540,31;0;0,00
20381870;2650v2-5050-64-1024-SL190;2026-02-10;5132;221;687,16;0;0,00
20381875;2650v2-3070M-32-1024-SL190;2026-02-10;3620;162;1983,31;0;0,00
20381883;2650v2-3070M-16-512-K1;2026-02-10;4975;194;711,93;0;0,00
20381899;2650v2-rx580-32-1024-SL190;2026-02-10;13461;1108;2824,96;2;176450,00
20381949;2650v2-5050-64-1024-Z5;2026-02-10;2664;63;671,01;0;0,00
20381972;2650v2-rx580-32-512-K1;2026-02-10;8422;458;4931,57;1;76450,00
20381997;2650v2-5050-32-1024-SL190;2026-02-10;2895;71;943,98;0;0,00
20382007;2667v4-5060-64-1024-Z5;2026-02-10;3540;72;1163,23;0;0,00
21421298;2650v2-3060-32-1024-SL190;2026-02-10;3233;64;286,58;0;0,00
21421312;2650v2-3060-64-1024-SL190;2026-02-10;1878;36;317,23;0;0,00
21421337;2667v4-5060ti-64-1024-SL190;2026-02-10;2681;47;241,54;0;0,00
21421346;2667v4-5060ti-32-1024-SL190;2026-02-10;2405;48;250,44;0;0,00
21421356;2667v4-5060-32-1024-SL190;2026-02-10;2079;40;280,28;0;0,00
21421366;2667v4-5060-64-1024-SL190;2026-02-10;2036;37;262,49;0;0,00
21421378;2667v4-5060-32-1024-Z5;2026-02-10;1967;43;254,51;0;0,00
21421407;2650v2-3050-64-1024-SL190;2026-02-10;2387;42;246,81;0;0,00
21421419;2650v2-5050-32-1024-Z5;2026-02-10;3099;76;274,25;0;0,00
22452263;2650v2-3070M-64-1024-SL190;2026-02-10;12764;822;2427,70;1;113187,00
22575808;3600-3070M-16-512-K1;2026-02-10;0;0;0,00;0;0,00
